#,Question,Option A,Option B,Option C,Option D,Correct Answer
1,The Hounsfield unit (HU) in CT represents:,Linear attenuation coefficient,Magnetic field strength,Radiation dose,Ultrasound velocity,A) Linear attenuation coefficient
2,Lead aprons protect against:,Ionizing radiation,RF noise,Ultrasound,Magnetic field,A) Ionizing radiation
3,The electrophoresis technique that uses isoelectric focusing is,SDS-PAGE,PFGE,2D-PAGE,AGE,C) 2D-PAGE
4,The Bragg peak is characteristic of:,Ultrasound waves,Proton beams,MRI signals,X-ray beams,B) Proton beams
5,Which of the following statements is true regarding migration of biomolecules?,Low voltage is used for the separation of high molecular weight compounds,The rate of migration is directly proportional to the resistance of the medium,The rate of migration is directly proportional to the current,The rate of migration is inversely proportional to current,C) The rate of migration is directly proportional to the current
6,EEG measures:,Blood flow,Heart rate,Muscle activity,Brain electrical activity,D) Brain electrical activity
7,Normal end-tidal CO2 (EtCO2) is:,50–60 mmHg,20–25 mmHg,10–15 mmHg,35–45 mmHg,D) 35–45 mmHg
8,Acoustic impedance mismatch causes:,Image noise,Ultrasound absorption,Doppler shift,Ultrasound reflection,D) Ultrasound reflection
9,Which of the following pair of scattering is important for diagnostic purposes?,Pair Production and Disintegration,Compton and Photoelectric,Photoelectric and Pair Production,Coherent and Compton,B) Compton and Photoelectric
10,Collimators in X-ray:,Detect RF signals,Reduce beam area,Increase scatter,Produce gamma rays,B) Reduce beam area
11,What does the electrophoresis apparatus consist of?,"Gel, buffer chamber and fire pack",Electrophoresis unit and gel separator,Power pack and electrophoresis unit,Buffer chamber and electrophoresis unit,C) Power pack and electrophoresis unit
12,ECG QRS duration represents:,Atrial depolarization,PR interval,Ventricular repolarization,Ventricular depolarization,D) Ventricular depolarization
13,The heel effect in X-ray imaging results in:,Reduction of image contrast,Uneven beam intensity across the field,Increase in photon energy,Change in focal spot size,B) Uneven beam intensity across the field
14,Low-LET radiation includes:,Protons,Neutrons,Gamma rays and X-rays,Alpha particles,C) Gamma rays and X-rays
15,Spiral CT allows:,Continuous helical acquisition,Doppler imaging,MRI compatibility,Slice-by-slice scanning,A) Continuous helical acquisition
16,Nerve conduction slowing occurs in:,EEG abnormality,Demyelination,Myopathy,Muscle fatigue,B) Demyelination
17,MRI safety: main risk in pacemaker patients is:,Ultrasound artifact,X-ray dose,EEG interference,RF heating,D) RF heating
18,"In agarose gel electrophoresis, DNA is moved towards the",Moves slowly,Anode,Cathode,DNA doesn't move,B) Anode
19,"In radiotherapy, fractionation is used to:",Increase single dose,Deliver total dose in parts,Reduce photon energy,Avoid imaging,B) Deliver total dose in parts
20,PET detects:,Coincident gamma photons from annihilation,Emitted positrons directly,X-ray scatter,Ultrasound waves,A) Coincident gamma photons from annihilation
21,QT interval represents:,AV conduction,Atrial depolarization,T wave only,Ventricular depolarization and repolarization,D) Ventricular depolarization and repolarization
22,What surgical functions are performed by the diathermy machine?,"Cutting, fulguration","Coagulation, fulguration","Cutting, coagulation","Cutting, coagulation, fulguration","D) Cutting, coagulation, fulguration"
23,Scatter radiation in X-ray reduces:,Resolution,Patient dose,Image contrast,Beam intensity,C) Image contrast
24,Alpha rhythm in EEG is:,>30 Hz,4–7 Hz,8–13 Hz,13–30 Hz,C) 8–13 Hz
25,Pulmonary function tests (PFTs) include:,EEG,Spirometry,ECG,EMG,B) Spirometry
26,Theta waves in EEG are associated with:,Active thinking,Drowsiness and early sleep,Deep sleep,Alertness,B) Drowsiness and early sleep
27,EMG measures:,Nerve conduction only,Heart function,Muscle electrical activity,EEG,C) Muscle electrical activity
28,Contrast agents in CT commonly contain:,Technetium,Iodine,Gadolinium,Barium for MRI,B) Iodine
29,Radiation therapy mainly uses:,Ultrasound,PET,MRI,X-rays and gamma rays,D) X-rays and gamma rays
30,What precaution is used in diathermy?,Pads are used for grounding and completing the circuit,The patient is made to lie on a soft pillow,The patient is made to drink a large number of fluids,Wooden blocks are used for grounding,A) Pads are used for grounding and completing the circuit
31,Half-value layer (HVL) depends on:,Field strength,Ultrasound frequency,EEG amplitude,X-ray energy,D) X-ray energy
32,Continuous-wave Doppler differs from pulsed-wave Doppler in that it:,Uses MRI,Uses CT,Can measure location precisely,Measures only peak velocity,D) Measures only peak velocity
33,"In pulse oximetry, normal SpO2 is:",95–100%,85–90%,70–80%,60–70%,A) 95–100%
34,Which is the technique suited for the separation of large DNA fragments,SDS-PAGE,AGE,PAGE,PFGE,D) PFGE
35,Spin-echo sequence reduces:,T2* effects,Doppler shift,T1 contrast,MRI signal,A) T2* effects
36,MRI angiography visualizes:,Nerves,Lungs,Bones,Blood vessels,D) Blood vessels
37,Beta rhythm in EEG is:,<4 Hz,4–7 Hz,8–13 Hz,13–30 Hz,D) 13–30 Hz
38,Multislice CT scanners improve:,MRI signal-to-noise ratio,Slice thickness and scanning speed,Ultrasound resolution,Patient heart rate,B) Slice thickness and scanning speed
39,Gadolinium-based agents are primarily used in:,CT,PET,X-ray,MRI,D) MRI
40,For which of these areas can the ultrasound be taken for an infant but not for an adult?,Chest,Cranium,Arms,Legs,B) Cranium
41,Theta rhythm in EEG is:,8–13 Hz,>30 Hz,4–7 Hz,13–30 Hz,C) 4–7 Hz
42,ECG paper speed is usually:,50 mm/s,25 mm/s,10 mm/s,100 mm/s,B) 25 mm/s
43,Gamma camera detects:,RF signals,Ultrasound echoes,Beta particles,Gamma photons,D) Gamma photons
44,The typical energy range of X-rays used in diagnostic radiology is:,0.01–0.1 keV,0.1–0.5 keV,1–150 keV,1–10 MeV,C) 1–150 keV
45,ECG R wave represents:,P wave,Ventricular repolarization,Atrial depolarization,Ventricular depolarization,D) Ventricular depolarization
46,The basic principle of X-ray production involves:,Electron acceleration and sudden deceleration,Neutron decay,Proton emission,Photon absorption,A) Electron acceleration and sudden deceleration
47,"In EEG, posterior dominant rhythm appears during:",EMG artifact,Seizure,"Eyes closed, awake",Sleep,"C) Eyes closed, awake"
48,Linear accelerator (LINAC) produces:,Ultrasound waves,High-energy X-rays or electrons,MRI signals,Gamma rays only,B) High-energy X-rays or electrons
49,Higher ultrasound frequency provides:,More scattering,Higher resolution,Less image quality,Greater depth,B) Higher resolution
50,Doppler ultrasound is primarily used to measure:,Tissue elasticity,Muscle strength,Bone density,Blood flow,D) Blood flow
51,"In heat wave diathermy, the maximum power given out is 500 W and the maximum voltage possible is 4000V. Thus, what is the highest resistance that heat wave diathermy machine can deal with?",320 K ohm,32 K ohm,3200 K ohm,3.2 K ohm,B) 32 K ohm
52,ECG T wave represents:,Atrial depolarization,Ventricular depolarization,QRS complex,Ventricular repolarization,D) Ventricular repolarization
53,The electrophoretic mobility denoted as µ is mathematically expressed as:,E/V,VE,1/EV,V/E,D) V/E
54,Gadolinium contrast shortens:,T2 relaxation,T1 relaxation,T2*,MRI noise,B) T1 relaxation
55,MRI safety concerns include:,Nuclear decay,Strong magnetic fields,Ionizing radiation,Ultrasound exposure,B) Strong magnetic fields
56,Electrophysiology study (EPS) is used to:,Measure blood pressure,Image lungs,Perform ultrasound,Map heart electrical activity,D) Map heart electrical activity
57,Gamma rays are:,Alpha particles,Charged particles,High-energy photons,Neutrons,C) High-energy photons
58,Contrast agents in X-ray imaging are often:,Low atomic number elements,High atomic number elements,Radioactive isotopes,Gases only,B) High atomic number elements
